ano,cob,pop,benef,tipo
2020,0.22534852873897016,209164889,47135000,observado
2021,0.23115258516080364,210103642,48566000,observado
2022,0.23571230612819322,210862983,49703000,observado
2023,0.24255632715038292,211695158,51348000,observado
2024,0.24559732340783338,212583750,52210000,observado
2025,0.247866849227239,213421037,52900000,observado
2026,0.25464836896333565,214211951,54548723.934603974,projecao
2027,0.2595601514931697,214959713,55794975.67120828,projecao
2028,0.2645330503713066,215667282,57051123.972748786,projecao
2029,0.2695665384927273,216337693,58317403.04751233,projecao
2030,0.27466003528147026,216973093,59593837.37850973,projecao
2031,0.2798129060868456,217562970,60876926.89258521,projecao
2032,0.28502446166211937,218096284,62162775.9376087,projecao
2033,0.29,218574144,63386501.76,projecao
2034,0.29,218997707,63509335.029999994,projecao
2035,0.29,219367247,63616501.629999995,projecao
2036,0.29,219681891,63707748.38999999,projecao
2037,0.29,219940741,63782814.88999999,projecao
2038,0.29,220144140,63841800.599999994,projecao
2039,0.29,220292836,63884922.44,projecao
2040,0.29,220386440,63912067.599999994,projecao
