date,scope,new_claims
2020-01-01,National,10214
2020-02-01,National,11594
2020-03-01,National,12736
2020-04-01,National,8907
2020-05-01,National,10212
2020-06-01,National,13601
2020-07-01,National,13910
2020-08-01,National,12688
2020-09-01,National,12543
2020-10-01,National,12551
2020-11-01,National,11553
2020-12-01,National,9930
2021-01-01,National,8865
2021-02-01,National,11610
2021-03-01,National,13558
2021-04-01,National,12072
2021-05-01,National,12816
2021-06-01,National,12734
2021-07-01,National,13380
2021-08-01,National,14069
2021-09-01,National,13177
2021-10-01,National,12194
2021-11-01,National,12738
2021-12-01,National,10090
2022-01-01,National,9317
2022-02-01,National,12869
2022-03-01,National,14622
2022-04-01,National,12318
2022-05-01,National,15733
2022-06-01,National,13937
2022-07-01,National,14928
2022-08-01,National,16857
2022-09-01,National,16868
2022-10-01,National,15367
2022-11-01,National,15885
2022-12-01,National,12441
2023-01-01,National,13095
2023-02-01,National,15181
2023-03-01,National,20326
2023-04-01,National,16005
2023-05-01,National,20794
2023-06-01,National,18808
2023-07-01,National,20867
2023-08-01,National,23446
2023-09-01,National,20333
2023-10-01,National,22460
2023-11-01,National,20541
2023-12-01,National,16784
2024-01-01,National,16174
2024-02-01,National,21636
2024-03-01,National,23324
2024-04-01,National,27384
2024-05-01,National,26582
2024-06-01,National,26119
2024-07-01,National,28584
2024-08-01,National,27045
2024-09-01,National,26738
2024-10-01,National,29275
2024-11-01,National,24898
2024-12-01,National,21369
2025-01-01,National,20163
2025-02-01,National,27257
2025-03-01,National,25940
2025-04-01,National,27246
2025-05-01,National,28511
2025-06-01,National,26253
2025-07-01,National,32698
2025-08-01,National,31063
2025-09-01,National,33501
2025-10-01,National,34160
2025-11-01,National,28927
2025-12-01,National,26044
2026-01-01,National,23461
2026-02-01,National,28440
2026-03-01,National,36478
2026-04-01,National,32288
2026-05-01,National,34218
2020-01-01,SP,3622
2020-02-01,SP,4103
2020-03-01,SP,4622
2020-04-01,SP,3306
2020-05-01,SP,3214
2020-06-01,SP,5063
2020-07-01,SP,5146
2020-08-01,SP,4778
2020-09-01,SP,4679
2020-10-01,SP,4340
2020-11-01,SP,4209
2020-12-01,SP,3608
2021-01-01,SP,3111
2021-02-01,SP,4397
2021-03-01,SP,5393
2021-04-01,SP,4551
2021-05-01,SP,4774
2021-06-01,SP,4969
2021-07-01,SP,4761
2021-08-01,SP,5188
2021-09-01,SP,4906
2021-10-01,SP,4280
2021-11-01,SP,4727
2021-12-01,SP,3472
2022-01-01,SP,3191
2022-02-01,SP,4475
2022-03-01,SP,5203
2022-04-01,SP,4276
2022-05-01,SP,5261
2022-06-01,SP,4977
2022-07-01,SP,5324
2022-08-01,SP,6243
2022-09-01,SP,5707
2022-10-01,SP,5582
2022-11-01,SP,6005
2022-12-01,SP,4154
2023-01-01,SP,4776
2023-02-01,SP,5304
2023-03-01,SP,6950
2023-04-01,SP,5318
2023-05-01,SP,7248
2023-06-01,SP,6654
2023-07-01,SP,7130
2023-08-01,SP,8390
2023-09-01,SP,6595
2023-10-01,SP,7137
